List1	List2	Similarity
{"č'ianč'vela"}	{"žinč'ela", "žionč'ela", "žinč'ola", "č'ianč'vela"}	DIFFERENT
{'namlah', 'moor', 'nammah'}	{'moor'}	DIFFERENT
{'namlah', 'moor', 'nammah'}	{'namlah', 'nammah'}	DIFFERENT
{'qarışğa', 'хъаришхъа', 'къаришкъа', 'qarışqa', 'къа1ришгъа1'}	{'qarışğa', 'гаришкъа', 'хъаришхъа', 'къаришкъа', 'qarışqa', 'къа1ришгъа1'}	DIFFERENT
{'зимзак', 'зимзар', 'зибз', 'зимс', 'зивз', 'zimzu', 'зимз'}	{'зимзак', 'зимзар', 'зибз', 'симсири', 'зимс', 'зивз', 'zimzu', 'зимз'}	DIFFERENT
{"žinč'ela", "žionč'ela", "žinč'ola"}	{"žinč'ela", "žionč'ela", "žinč'ola", "č'ianč'vela"}	DIFFERENT
{'гаришкъа'}	{'qarışğa', 'гаришкъа', 'хъаришхъа', 'къаришкъа', 'qarışqa', 'къа1ришгъа1'}	DIFFERENT
{'дзыдзах', 'цыхцар', 'цыцах', 'цахцар', 'дзы1хцар', 'дзыдза1хъ', 'дзыдзахъ'}	{'дзы1хцар'}	DIFFERENT
{'дзыдзах', 'цыхцар', 'цыцах', 'цахцар', 'дзы1хцар', 'дзыдза1хъ', 'дзыдзахъ'}	{'дзыдзах', 'дзыдза1хъ', 'дзыдзахъ'}	DIFFERENT
{'к1к1ара'}	{'к1к1ара', 'ККари'}	DIFFERENT
{'ц1имиц1и', 'карешпа'}	{'карешпа'}	DIFFERENT
{'ККари'}	{'к1к1ара', 'ККари'}	DIFFERENT
{'лъанц1', 'лъанц1и', 'лъанц1ц1и', 'лъарц1ц1е'}	{'лъанц1и', 'лъанц1ц1и', 'лъарц1ц1е', 'лъанц1', 'танц1ц1а'}	DIFFERENT
{'РЕЦÉНЙО', 'рецен'}	{'РЕЦÉНЙО'}	DIFFERENT
{'РЕЦÉНЙО', 'рецен'}	{'рецен'}	DIFFERENT
{'симсири'}	{'зимзак', 'зимзар', 'зибз', 'симсири', 'зимс', 'зивз', 'zimzu', 'зимз'}	DIFFERENT
{'танц1ц1а'}	{'лъанц1и', 'лъанц1ц1и', 'лъарц1ц1е', 'лъанц1', 'танц1ц1а'}	DIFFERENT
{'цIунцIра', 'ц1уц1ра', 'цвез'}	{'цIунцIра', 'ц1уц1ра'}	DIFFERENT
{'дзыдзах', 'цыхцар', 'цыцах', 'цахцар', 'дзы1хцар', 'дзыдза1хъ', 'дзыдзахъ'}	{'цахцар', 'цыхцар', 'цыцах'}	DIFFERENT
{'цIунцIра', 'ц1уц1ра', 'цвез'}	{'цвез'}	DIFFERENT
{'(полу-)чарх', 'чарх', 'чарх п'}	{'(полу-)чарх', 'чарх', '*чарх', 'чарх п'}	DIFFERENT
{'акъва', 'ад'}	{'ад'}	DIFFERENT
{'акъва', 'ад'}	{'акъва'}	DIFFERENT
{'мо???'}		NOT IN LIST 2
{'suldi'}	{'tsuld podtv', 'tsuld', 'tsuldi - big axe', 'suldi', 'tsuli', 'tsuldi'}	DIFFERENT
{'tabərzan', 'tabar'}	{'tapor', 'tabərzan', 'tapori', 'yaq', 'топор', 'tabar'}	DIFFERENT
{'tapor', 'топор', 'tapori'}	{'tapor', 'tabərzan', 'tapori', 'yaq', 'топор', 'tabar'}	DIFFERENT
{'tsuld podtv', 'tsuld', 'tsuldi - big axe', 'tsuli', 'tsuldi'}	{'tsuld podtv', 'tsuld', 'tsuldi - big axe', 'suldi', 'tsuli', 'tsuldi'}	DIFFERENT
{'yaq'}	{'tapor', 'tabərzan', 'tapori', 'yaq', 'топор', 'tabar'}	DIFFERENT
{'аНжито', 'анжитобо', 'анжито(бо)', 'ажите'}	{'анжитобо', 'анжито(бо)', 'ажите', 'г1анжит', 'аНжито'}	DIFFERENT
{'г1анжит'}	{'анжитобо', 'анжито(бо)', 'ажите', 'г1анжит', 'аНжито'}	DIFFERENT
{'якlу', 'якьу', 'якв', 'ек1в', 'якlв', 'якьв', 'екIв', 'юкв', 'як1а', 'юк1', 'ек1', 'якIв', 'юк1в', 'як1в', 'як1'}	{'якlу', 'якьу', 'якв', 'ек1в', 'якlв', 'якьв', 'екIв', 'юкв', 'як1а', 'юк1', 'ек1', 'йик1', 'якIв', 'юк1в', 'як1в', 'як1'}	DIFFERENT
{'йик1'}	{'якlу', 'якьу', 'якв', 'ек1в', 'якlв', 'якьв', 'екIв', 'юкв', 'як1а', 'юк1', 'ек1', 'йик1', 'якIв', 'юк1в', 'як1в', 'як1'}	DIFFERENT
{'dump'}	{'ТОП2', 'туп', 'тып', 'toop-bazee', 'toop', 'тур', 'top', 'dump', 'топ'}	DIFFERENT
{'top', 'туп', 'тып', 'toop-bazee', 'toop', 'тур', 'ТОП2', 'топ'}	{'ТОП2', 'туп', 'тып', 'toop-bazee', 'toop', 'тур', 'top', 'dump', 'топ'}	DIFFERENT
{'bočka', 'бочка', 'boshkeh', 'пычка', 'бошк1а', 'бычка', 'boçka', 'пушк1а', 'рус', 'RUS', 'пышк1а', 'пычк1а', 'бушка', 'бучка', 'пошк1а', 'пучка', 'пошка'}	{'bočka', 'бочка', 'boshkeh', 'пычка', 'бошк1а', 'бычка', 'boçka', 'пушк1а', 'рус', 'RUS', 'пышк1а', 'пычк1а', 'метал - бочка', 'бушка', 'бучка', 'пошк1а', 'пучка', 'пошка'}	DIFFERENT
{'челег(п но меньше)', 'çaləq', 'челег(нп)', 'черма', 'челег подтвердил', 'черме', 'челеге', 'шалеги', 'челег', 'chelik'}	{'челег(п но меньше)', 'çaləq', 'челег(нп)', 'челег подтвердил', 'челеге', 'шалеги', 'челег', 'chelik'}	DIFFERENT
